learning_rate,decay_factor,val_brier
0.005,0.98,0.6666666666666667
0.005,0.99,0.6666666666666667
0.005,0.995,0.6666666666666667
0.01,0.98,0.6666666666666667
0.01,0.99,0.6666666666666667
0.01,0.995,0.6666666666666667
0.02,0.98,0.6666666666666667
0.02,0.99,0.6666666666666667
0.02,0.995,0.6666666666666667
