threshold_pct,threshold_decimal,train_accuracy,test_accuracy,description,train_tie_predictions,test_tie_predictions,train_tie_rate,test_tie_rate
0.0,0.0,0.4427764770692742,0.4932935916542474,Baseline (no threshold),,,,
0.1,0.001,0.4418124225313318,0.4913065076999503,Threshold = 0.1%,30.0,21.0,0.0041316623054675665,0.005216095380029807
0.2,0.002,0.4405729238396915,0.49056135121708894,Threshold = 0.2%,67.0,34.0,0.009227379148877566,0.008445106805762544
0.3,0.003,0.4390579809943534,0.49080973671137607,Threshold = 0.3%,100.0,45.0,0.013772207684891888,0.011177347242921014
0.4,0.004,0.4385070926869577,0.4890710382513661,Threshold = 0.4%,138.0,55.0,0.019005646605150806,0.01366120218579235
0.5,0.005,0.4374053160721664,0.4890710382513661,Threshold = 0.5%,174.0,65.0,0.023963641371711884,0.016145057128663685
0.6,0.006,0.4371298719184685,0.4890710382513661,Threshold = 0.6%,208.0,80.0,0.028646191984575128,0.01987083954297069
0.7,0.006999999999999999,0.4376807602258642,0.48758072528564333,Threshold = 0.7%,237.0,89.0,0.03264013221319378,0.022106308991554892
0.8,0.008,0.4375430381490153,0.4868355688027819,Threshold = 0.8%,276.0,107.0,0.03801129321030161,0.026577247888723298
0.9,0.009000000000000001,0.43657898361107284,0.48633879781420764,Threshold = 0.9%,313.0,122.0,0.04310701005371161,0.030303030303030304
1.0,0.01,0.4360280953036772,0.485096870342772,Threshold = 1.0%,341.0,137.0,0.046963228205481336,0.034028812717337306
