k_factor,train_accuracy,train_brier,train_logloss,test_accuracy,test_brier,test_logloss
20,0.4383693706101088,0.6720639457285186,1.1198501480189322,0.46944858420268254,0.6534672768054383,1.0941500400590767
25,0.4376807602258642,0.6738045098502312,1.1224894133834522,0.4689518132141083,0.6551138925102111,1.0966292777148408
30,0.43878253684065555,0.6757581027962087,1.1254442041407093,0.4682066567312469,0.6569375006653304,1.0993298688747029
35,0.43781848230271314,0.6778094831211876,1.1285240764976288,0.4689518132141083,0.6588324934307197,1.1021133513336197
40,0.43878253684065555,0.6799555293818469,1.1317487582819536,0.46646795827123694,0.6608257891263453,1.1050783841843048
