k_factor,home_advantage,train_accuracy,train_brier,train_logloss,test_accuracy,test_brier,test_logloss
15,30,0.4420878666850296,0.6528091208579515,1.0880402743231046,0.49080973671137607,0.631152929559042,1.059945579265988
15,31,0.44236331083872743,0.6528089737490473,1.0880945749220081,0.4913065076999503,0.6312333235887544,1.0600938668367026
15,32,0.4407106459165404,0.6528174732412891,1.0881620522845892,0.4903129657228018,0.631316778084389,1.0602439650358346
15,33,0.44084836799338933,0.6528326491278745,1.0882385697480936,0.49230004967709884,0.6314051691084668,1.0603997824561653
15,34,0.4427764770692742,0.6528563272436864,1.0883279364112133,0.4932935916542474,0.631500439725666,1.0605654122685197
15,35,0.4434650874535188,0.6528859195445296,1.0884248099891731,0.49254843517138597,0.6316017563082197,1.0607391440065896
15,36,0.44401597576091445,0.6529213303276132,1.0885290020400533,0.49279682066567315,0.6317105262813926,1.0609239148857434
15,37,0.44456686406831014,0.6529624644577372,1.0886403232890636,0.4920516641828117,0.6318273091882705,1.0611209034106919
15,38,0.44511775237570583,0.6530132633702259,1.0887670076110987,0.49080973671137607,0.6319546382495254,1.061335374962208
15,39,0.4442914199146123,0.6530749520786407,1.088911619431992,0.4913065076999503,0.6320905992647974,1.0615633363860033
15,40,0.4441536978377634,0.6531445848193296,1.0890680043941194,0.4903129657228018,0.6322345128907754,1.061803383754346
15,41,0.4438782536840656,0.6532216673050203,1.0892351279839068,0.48931942374565324,0.632384398094118,1.0620513836300154
15,42,0.4429141991461231,0.6533048670882898,1.0894102159591177,0.488822652757079,0.6325399681912676,1.0623067214761353
15,43,0.44167470045448287,0.6533962634387082,1.0895975776681506,0.48857426726279185,0.6327049815171315,1.0625772248341223
15,44,0.44153697837763395,0.6534972850882981,1.0898001706156164,0.4890710382513661,0.632875014973452,1.0628536960446962
15,45,0.4412615342239361,0.6536084006217963,1.0900189760430072,0.48857426726279185,0.6330534634224728,1.0631432322848575
15,46,0.4411238121470872,0.6537288986115639,1.0902525110283803,0.48857426726279185,0.633238278177876,1.0634415791779954
15,47,0.44029747968599364,0.6538559989798352,1.0904949835410516,0.48857426726279185,0.6334274108006561,1.0637444777532148
15,48,0.44098609007023826,0.653992818705009,1.090752884029447,0.4880774962742176,0.6336231482926598,1.0640567060934554
15,49,0.44098609007023826,0.6541376127609089,1.0910225979662393,0.4883258817685047,0.633824073336331,1.0643753298934653
15,50,0.43988431345544693,0.6542891821544983,1.0913016315698743,0.4873323397913562,0.6340332945682343,1.0647068416515084
16,30,0.44153697837763395,0.6532068363780311,1.088739102789863,0.4918032786885246,0.6314682564348989,1.0604726200990386
16,31,0.44153697837763395,0.6532073860179468,1.0887945822198726,0.4910581222056632,0.6315496310581455,1.0606229014438968
